TITLE;TYPE
205-Schumann Kreisleriana Teil 8.mid;0
206-Schumann Sechs Moments MuNo-1 in C-Dur.mid;0
207-Schumann Sechs Moments MuNo-2 in As-Dur.mid;0
208-Schumann Sechs Moments MuNo-3 f-moll.mid;0
209-Schumann Sechs Moments MuNo-4 cis-moll.mid;0
210-Schumann Sechs Moments MuNo-5 in f-moll.mid;0
211-Tchaikovsky Die Jahreszeiten April.mid;0
212-Tchaikovsky Die Jahreszeiten August.mid;0
213-Tchaikovsky Die Jahreszeiten Dezember.mid;0
214-Tchaikovsky Die Jahreszeiten Februar.mid;0
215-Tchaikovsky Die Jahreszeiten Januar.mid;0
216-Tchaikovsky Die Jahreszeiten Juli.mid;0
217-Tchaikovsky Die Jahreszeiten Juni.mid;0
218-Tchaikovsky Die Jahreszeiten Maerz.mid;0
219-Tchaikovsky Die Jahreszeiten Mai.mid;0
220-Tchaikovsky Die Jahreszeiten November.mid;0
221-Tchaikovsky Die Jahreszeiten Oktober.mid;0
222-Tchaikovsky Die Jahreszeiten September.mid;0
