TITLE;TYPE
164-Satie Eric - Gymnopedie No-2.mid;0
165-Satie Eric - Gymnopedie No-3.mid;0
166-Scarlatti - Sonata in C L.104 K.159.mid;0
167-Scarlatti - Sonata in D.mid;0
168-Scarlatti - Sonata in F.mid;0
169-Schubert - Impromptu in A-flat minor Op-90 No-4.mid;0
170-Schubert - Impromptu in E-flat Op-90 No-2.mid;0
171-Schubert - Impromptu in G-flat Op-90 No-3.mid;0
172-Schumann - About Foreign Lands and People Op-15 No-1.mid;0
173-Schumann - Almost Too Serious Op-15 No-10.mid;0
174-Schumann - Arabeske Op-18.mid;0
175-Schumann - By the Fireside Op-15 No-8.mid;0
176-Schumann - Catch Me! Op-15 No-3.mid;0
177-Schumann - Child Falling Asleep Op-15 No-12.mid;0
178-Schumann - Curious Story Op-15 No-2.mid;0
179-Schumann - Frightening Op-15 No-11.mid;0
180-Schumann - Important Event Op-15 No-6.mid;0
181-Schumann - In the Evening Op-12 No-1.mid;0
182-Schumann - In the Night Op-12 No-5.mid;0
183-Schumann - King of the Rocking-Horse Op-15 No-9.mid;0
184-Schumann - Perfect Happiness Op-15 No-5.mid;0
185-Schumann - Pleading Child Op-15 No-4.mid;0
186-Schumann - Restless Dreams Op-12 No-7.mid;0
187-Schumann - Reverie Op-15 No-7.mid;0
188-Schumann - Romanze in F-sharp Op-28 No-2.mid;0
189-Schumann - Soaring Op-12 No-2.mid;0
190-Schumann - The Happy Farmer.mid;0
191-Schumann - The Poet Speaks Op-15 No-13.mid;0
192-Schumann - The Song's End Op-12 No-8.mid;0
193-Schumann - Whims Op-12 No-4.mid;0
194-Schumann - Why Op-12 No-3.mid;0
195-Scriabin - Etude in C-sharpop.2no 11.mid;0
196-Sibelius - Romance in D-flat.mid;0
197-Sibelius - Valse Triste.mid;0
198-Sinding - Rustles of Spring Op-32 No-3.mid;0
199-Tchaikovsky - Arabian Dance (Nutcracker).mid;0
200-Tchaikovsky - Chinese Dance (Nutcracker).mid;0
201-Tchaikovsky - Dance of the Reed Flutes (Nutcracker).mid;0
202-Tchaikovsky - Dance of the Sugar-Plum Fairy (Nutcracker).mid;0
203-Tchaikovsky - June (Barcarolle) Op-37 No-6.mid;0
204-Tchaikovsky - March (Nutcracker).mid;0
205-Tchaikovsky - Mazurka Op-39 No-10.mid;0
206-Tchaikovsky - Neapolitan Song Op-39 No-18.mid;0
207-Tchaikovsky - Old French Song Op-39 No-16.mid;0
208-Tchaikovsky - Overture (Nutcracker).mid;0
209-Tchaikovsky - Russian Dance (Nutcracker).mid;0
210-Tchaikovsky - Song of the Lark Op-39 No-22.mid;0
211-Tchaikovsky - Sweet Dream Op-39 No-21.mid;0
212-Tchaikovsky - Waltz of the Flowers (Nutcracker).mid;0
213-Tchaikovsky - Waltz Op-39 No-8.mid;0
214-Villa-Lobos - Punch (Le Polichinelle).mid;0
215-Von Weber - Rondo Brilliant in E-flat Op-62.mid;0
